store_id,city,region,cluster_label,cluster_persona,footfall,avg_temperature,income_level,area_type,total_sales_value,total_sales_units
S0019,Lucknow,North,E,Industrial Areas,338,33.0,5,Hot Climate,3120729.2,60501
S0108,Lucknow,North,E,Industrial Areas,252,38.4,5,Residential,3119112.85,60327
S0115,Bhubaneswar,East,E,Industrial Areas,444,34.7,3,Urban,3117830.85,60230
S0038,Kolkata,East,E,Industrial Areas,364,22.6,8,Urban,3113311.55,60385
S0088,Mumbai,West,E,Industrial Areas,490,34.1,5,Residential,3112698.75,59233
S0002,Chennai,South,E,Industrial Areas,271,41.8,5,Residential,3109212.2,58572
S0059,Chandigarh,North,E,Industrial Areas,421,38.2,2,Urban,3108666.3,60097
S0106,Chennai,South,E,Industrial Areas,188,35.2,4,Hot Climate,3105173.4,59170
S0113,Chennai,South,E,Industrial Areas,354,26.9,4,Industrial,3099073.3,58721
S0014,Delhi,North,E,Industrial Areas,200,38.0,4,Near Schools,3091495.6,59866
S0010,Bangalore,South,E,Industrial Areas,178,33.0,4,Hot Climate,3078827.2,59250
S0075,Pune,West,E,Industrial Areas,394,41.7,2,Residential,3076126.1,59193
S0018,Patna,East,E,Industrial Areas,334,37.7,5,Urban,3043699.5,59034
S0025,Mumbai,West,E,Industrial Areas,450,34.0,7,Industrial,3040476.05,59407
S0094,Ahmedabad,West,E,Industrial Areas,261,23.9,5,Near Schools,3034480.2,59177
S0056,Pune,West,E,Industrial Areas,395,32.8,6,Residential,3029751.5,57951
S0035,Pune,West,E,Industrial Areas,224,28.8,5,Near Schools,3029379.15,59705
S0107,Chennai,South,E,Industrial Areas,244,34.3,5,Urban,3020504.4,59333
S0090,Mumbai,West,E,Industrial Areas,407,34.3,5,Hot Climate,3005523.3,58765
S0070,Kolkata,East,E,Industrial Areas,105,39.1,2,Urban,3002801.5,58471
S0082,Lucknow,North,E,Industrial Areas,308,24.4,4,Urban,2996175.05,59476
S0029,Pune,West,E,Industrial Areas,302,38.6,9,Urban,2992342.5,58762
S0112,Delhi,North,E,Industrial Areas,183,29.6,4,Near Schools,2987319.75,58726
S0101,Bhubaneswar,East,E,Industrial Areas,479,28.7,6,Near Schools,2971071.95,57883
